Nom du point de vente,Commune,Daira,Wilaya,Latitude,Longitude,Cluster
Point de Vente Alger-Centre 052,Alger-Centre,Sidi M'Hamed,Alger,36.77813800878452,3.0622179696322025,6.0
Point de Vente Alger-Centre 053,Alger-Centre,Sidi M'Hamed,Alger,36.78495066402664,3.0641990008699365,18.0
Point de Vente Alger-Centre 057,Alger-Centre,Sidi M'Hamed,Alger,36.780915302847184,3.0634100307817245,0.0
Point de Vente Alger-Centre 060,Alger-Centre,Sidi M'Hamed,Alger,36.77768767339837,3.0505071594448845,2.0
Point de Vente Alger-Centre 066,Alger-Centre,Sidi M'Hamed,Alger,36.76619768205641,3.0611877090723825,11.0
Point de Vente Alger-Centre 070,Alger-Centre,Sidi M'Hamed,Alger,36.77801706145952,3.049405774406892,2.0
Point de Vente Alger-Centre 071,Alger-Centre,Sidi M'Hamed,Alger,36.77672841178583,3.050680467277635,2.0
Point de Vente Alger-Centre 072,Alger-Centre,Sidi M'Hamed,Alger,36.77561405211093,3.057029307305113,8.0
Point de Vente Alger-Centre 074,Alger-Centre,Sidi M'Hamed,Alger,36.77652772811814,3.0624295099710293,6.0
Point de Vente Alger-Centre 075,Alger-Centre,Sidi M'Hamed,Alger,36.77577223143821,3.060785083567405,6.0
Point de Vente Alger-Centre 079,Alger-Centre,Sidi M'Hamed,Alger,36.77046645729887,3.060594554126251,20.0
Point de Vente Alger-Centre 080,Alger-Centre,Sidi M'Hamed,Alger,36.77546429540361,3.058173248096604,21.0
Point de Vente Alger-Centre 081,Alger-Centre,Sidi M'Hamed,Alger,36.77097448399745,3.0617967260077803,9.0
Point de Vente Alger-Centre 087,Alger-Centre,Sidi M'Hamed,Alger,36.771933071934185,3.0605339693664444,20.0
Point de Vente Alger-Centre 088,Alger-Centre,Sidi M'Hamed,Alger,36.76642803408424,3.0491514807917066,22.0
Point de Vente Alger-Centre 092,Alger-Centre,Sidi M'Hamed,Alger,36.776022148743,3.062166732574678,6.0
Point de Vente Alger-Centre 093,Alger-Centre,Sidi M'Hamed,Alger,36.777310819377576,3.050308158516333,2.0
Point de Vente Alger-Centre 098,Alger-Centre,Sidi M'Hamed,Alger,36.77640173989591,3.052552786061145,13.0
Point de Vente Alger-Centre 101,Alger-Centre,Sidi M'Hamed,Alger,36.77117548193804,3.061635478136617,9.0
Point de Vente Alger-Centre 102,Alger-Centre,Sidi M'Hamed,Alger,36.7758907497957,3.06147891269248,6.0
Point de Vente Alger-Centre 104,Alger-Centre,Sidi M'Hamed,Alger,36.785308650525614,3.0643152647202885,18.0
Point de Vente Alger-Centre 105,Alger-Centre,Sidi M'Hamed,Alger,36.77534382043742,3.0549267782451976,13.0
Point de Vente Alger-Centre 107,Alger-Centre,Sidi M'Hamed,Alger,36.77572778514235,3.057119148649427,8.0
Point de Vente Alger-Centre 112,Alger-Centre,Sidi M'Hamed,Alger,36.7662910766966,3.054501191306369,-1.0
Point de Vente Alger-Centre 118,Alger-Centre,Sidi M'Hamed,Alger,36.77542161139562,3.0581418108479053,21.0
Point de Vente Alger-Centre 121,Alger-Centre,Sidi M'Hamed,Alger,36.77596489985532,3.0570911645417125,8.0
Point de Vente Alger-Centre 122,Alger-Centre,Sidi M'Hamed,Alger,36.7769804415423,3.0567778309991587,8.0
Point de Vente Alger-Centre 125,Alger-Centre,Sidi M'Hamed,Alger,36.776431367539466,3.052904636864283,13.0
Point de Vente Alger-Centre 128,Alger-Centre,Sidi M'Hamed,Alger,36.78010500165893,3.050029732580009,14.0
Point de Vente Alger-Centre 131,Alger-Centre,Sidi M'Hamed,Alger,36.7754384249183,3.0486840607495664,5.0
Point de Vente Alger-Centre 133,Alger-Centre,Sidi M'Hamed,Alger,36.77199537977878,3.0630709526777777,9.0
Point de Vente Alger-Centre 137,Alger-Centre,Sidi M'Hamed,Alger,36.7835193072844,3.063341935344163,0.0
Point de Vente Alger-Centre 145,Alger-Centre,Sidi M'Hamed,Alger,36.77876444061233,3.061162043793625,0.0
Point de Vente Alger-Centre 146,Alger-Centre,Sidi M'Hamed,Alger,36.77476866455458,3.0509200825940703,2.0
Point de Vente Alger-Centre 147,Alger-Centre,Sidi M'Hamed,Alger,36.77465372395944,3.054102526221638,13.0
Point de Vente Sidi M'Hamed 001,Sidi M'Hamed,Sidi M'Hamed,Alger,36.7625762583148,3.039853428513829,-1.0
Point de Vente Sidi M'Hamed 002,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75806556401173,3.05291951871894,23.0
Point de Vente Sidi M'Hamed 003,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75626597757164,3.0469414812762325,24.0
Point de Vente Sidi M'Hamed 004,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76177825917627,3.043167891963644,25.0
Point de Vente Sidi M'Hamed 005,Sidi M'Hamed,Sidi M'Hamed,Alger,36.77403333521586,3.047785966119762,26.0
Point de Vente Sidi M'Hamed 006,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76930261362956,3.041365369120663,27.0
Point de Vente Sidi M'Hamed 008,Sidi M'Hamed,Sidi M'Hamed,Alger,36.77318135928996,3.0407930847955864,28.0
Point de Vente Sidi M'Hamed 009,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76066202559157,3.047618122282212,29.0
Point de Vente Sidi M'Hamed 010,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76422819403836,3.044005830399442,30.0
Point de Vente Sidi M'Hamed 011,Sidi M'Hamed,Sidi M'Hamed,Alger,36.756719488927054,3.04324878896512,31.0
Point de Vente Sidi M'Hamed 012,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76217429727466,3.047197338459198,29.0
Point de Vente Sidi M'Hamed 013,Sidi M'Hamed,Sidi M'Hamed,Alger,36.760695162692485,3.0485749414862733,29.0
Point de Vente Sidi M'Hamed 014,Sidi M'Hamed,Sidi M'Hamed,Alger,36.756334002438415,3.042394308225587,31.0
Point de Vente Sidi M'Hamed 016,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76172902286972,3.051883060945697,33.0
Point de Vente Sidi M'Hamed 017,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76560283421856,3.0497726359493096,22.0
Point de Vente Sidi M'Hamed 018,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76436518792255,3.0536346072440748,34.0
Point de Vente Sidi M'Hamed 020,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75702658262538,3.047249607009168,24.0
Point de Vente Sidi M'Hamed 021,Sidi M'Hamed,Sidi M'Hamed,Alger,36.77419681507245,3.0436864884944628,27.0
Point de Vente Sidi M'Hamed 024,Sidi M'Hamed,Sidi M'Hamed,Alger,36.77415927998673,3.059473273538693,-1.0
Point de Vente Sidi M'Hamed 025,Sidi M'Hamed,Sidi M'Hamed,Alger,36.77154893428455,3.0435982971077755,27.0
Point de Vente Sidi M'Hamed 026,Sidi M'Hamed,Sidi M'Hamed,Alger,36.759052382744095,3.041682395477668,37.0
Point de Vente Sidi M'Hamed 027,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76294079234362,3.051105208685393,33.0
Point de Vente Sidi M'Hamed 029,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75878674053056,3.040605279681801,37.0
Point de Vente Sidi M'Hamed 030,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75961491628158,3.044170376286279,25.0
Point de Vente Sidi M'Hamed 031,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75623384883982,3.040863354810275,38.0
Point de Vente Sidi M'Hamed 032,Sidi M'Hamed,Sidi M'Hamed,Alger,36.7672355555068,3.040185243382454,39.0
Point de Vente Sidi M'Hamed 033,Sidi M'Hamed,Sidi M'Hamed,Alger,36.759179793614585,3.050049168157556,40.0
Point de Vente Sidi M'Hamed 035,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75893686445108,3.045411496218936,-1.0
Point de Vente Sidi M'Hamed 036,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76420118890318,3.0571663802388183,32.0
Point de Vente Sidi M'Hamed 041,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76097691533753,3.0531323417275864,33.0
Point de Vente Sidi M'Hamed 042,Sidi M'Hamed,Sidi M'Hamed,Alger,36.77176573558041,3.0479874218425844,26.0
Point de Vente Sidi M'Hamed 046,Sidi M'Hamed,Sidi M'Hamed,Alger,36.77288809128184,3.040770369777787,28.0
Point de Vente Sidi M'Hamed 047,Sidi M'Hamed,Sidi M'Hamed,Alger,36.765627689253606,3.040024074664485,39.0
Point de Vente Sidi M'Hamed 048,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76387513127093,3.053351638565488,34.0
Point de Vente Sidi M'Hamed 049,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76099110556067,3.0533112771244166,33.0
Point de Vente Sidi M'Hamed 050,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76926249056221,3.0437673686934903,27.0
Point de Vente Sidi M'Hamed 051,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76555602366842,3.050898983584475,41.0
Point de Vente Sidi M'Hamed 052,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75757163795421,3.0501937406797706,40.0
Point de Vente Sidi M'Hamed 053,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75650119486937,3.047971433349923,24.0
Point de Vente Sidi M'Hamed 054,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75477103754665,3.0478817259490145,24.0
Point de Vente Sidi M'Hamed 060,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76914581362419,3.046329708255824,26.0
Point de Vente Sidi M'Hamed 062,Sidi M'Hamed,Sidi M'Hamed,Alger,36.7568754319107,3.0469349952533893,24.0
Point de Vente Sidi M'Hamed 063,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75491803575582,3.051207592059478,-1.0
Point de Vente Sidi M'Hamed 064,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75645283872336,3.0429244597775424,31.0
Point de Vente Sidi M'Hamed 065,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75720179081532,3.05072616984086,40.0
Point de Vente Sidi M'Hamed 066,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76112047380042,3.0441081374665253,25.0
Point de Vente Sidi M'Hamed 068,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76083566217904,3.059590712630098,42.0
Point de Vente Sidi M'Hamed 069,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76090746371623,3.049544241634941,40.0
Point de Vente Sidi M'Hamed 070,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76510988848458,3.0474683433052703,-1.0
Point de Vente Sidi M'Hamed 072,Sidi M'Hamed,Sidi M'Hamed,Alger,36.7652100740088,3.04395262459193,30.0
Point de Vente Sidi M'Hamed 073,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76336126148993,3.0511006252531634,33.0
Point de Vente Sidi M'Hamed 074,Sidi M'Hamed,Sidi M'Hamed,Alger,36.77374739562445,3.04382001078531,27.0
Point de Vente Sidi M'Hamed 075,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76145408020149,3.0443912933982347,25.0
Point de Vente Sidi M'Hamed 076,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75519814955255,3.0468294096642503,24.0
Point de Vente Sidi M'Hamed 077,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76720465047541,3.045851689107398,-1.0
Point de Vente Sidi M'Hamed 078,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76049014279192,3.046691573433299,29.0
Point de Vente Sidi M'Hamed 079,Sidi M'Hamed,Sidi M'Hamed,Alger,36.765165389454296,3.0596448225431616,12.0
Point de Vente Sidi M'Hamed 080,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75700643855607,3.059514537967501,35.0
Point de Vente Sidi M'Hamed 083,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76973447016852,3.040958691050424,27.0
Point de Vente Sidi M'Hamed 086,Sidi M'Hamed,Sidi M'Hamed,Alger,36.77435934612256,3.0405937386048936,28.0
Point de Vente Sidi M'Hamed 087,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76388129440612,3.04572980880776,43.0
Point de Vente Sidi M'Hamed 089,Sidi M'Hamed,Sidi M'Hamed,Alger,36.77215149649498,3.0473643109856874,26.0
Point de Vente Sidi M'Hamed 090,Sidi M'Hamed,Sidi M'Hamed,Alger,36.761787396392215,3.042491667561761,25.0
Point de Vente Sidi M'Hamed 094,Sidi M'Hamed,Sidi M'Hamed,Alger,36.77019504086514,3.047093908962191,26.0
Point de Vente Sidi M'Hamed 097,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75996646335887,3.040986760692011,37.0
Point de Vente Sidi M'Hamed 098,Sidi M'Hamed,Sidi M'Hamed,Alger,36.77301920161765,3.0434432106115072,27.0
Point de Vente Sidi M'Hamed 099,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76170059955034,3.0426820754046204,25.0
Point de Vente Sidi M'Hamed 102,Sidi M'Hamed,Sidi M'Hamed,Alger,36.763866695373416,3.0442133384140493,30.0
Point de Vente Sidi M'Hamed 103,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76601193035928,3.0511615593920496,41.0
Point de Vente Sidi M'Hamed 106,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76976420424651,3.0454263872278013,26.0
Point de Vente Sidi M'Hamed 107,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76963963894679,3.0421502934126674,27.0
Point de Vente Sidi M'Hamed 108,Sidi M'Hamed,Sidi M'Hamed,Alger,36.7690105935835,3.042393285716892,27.0
Point de Vente Sidi M'Hamed 109,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76131782637881,3.0523747719367527,33.0
Point de Vente Sidi M'Hamed 110,Sidi M'Hamed,Sidi M'Hamed,Alger,36.768737376774375,3.0484892839908144,-1.0
Point de Vente Sidi M'Hamed 111,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76247101050207,3.0520387443759245,33.0
Point de Vente Sidi M'Hamed 112,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76070733913691,3.047587704456319,29.0
Point de Vente Sidi M'Hamed 114,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76589047974715,3.05656143694654,44.0
Point de Vente Sidi M'Hamed 116,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76555425165768,3.0591314699091776,12.0
Point de Vente Sidi M'Hamed 117,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76468595490449,3.0456081001192143,43.0
Point de Vente Sidi M'Hamed 118,Sidi M'Hamed,Sidi M'Hamed,Alger,36.77126275966467,3.044149804509922,27.0
Point de Vente Sidi M'Hamed 119,Sidi M'Hamed,Sidi M'Hamed,Alger,36.7610720107356,3.051353983521357,33.0
Point de Vente Sidi M'Hamed 121,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75552709625765,3.0435090530025635,31.0
Point de Vente Sidi M'Hamed 123,Sidi M'Hamed,Sidi M'Hamed,Alger,36.7631378974456,3.053894965977285,34.0
Point de Vente Sidi M'Hamed 124,Sidi M'Hamed,Sidi M'Hamed,Alger,36.760529571966416,3.0434471979794533,25.0
Point de Vente Sidi M'Hamed 125,Sidi M'Hamed,Sidi M'Hamed,Alger,36.772366008212565,3.0467572583977818,26.0
Point de Vente Sidi M'Hamed 127,Sidi M'Hamed,Sidi M'Hamed,Alger,36.75463550941392,3.040029572234101,-1.0
Point de Vente Sidi M'Hamed 129,Sidi M'Hamed,Sidi M'Hamed,Alger,36.755660901160354,3.04126746891755,38.0
Point de Vente Sidi M'Hamed 131,Sidi M'Hamed,Sidi M'Hamed,Alger,36.76930163039668,3.0443978976736275,27.0
Point de Vente Sidi M'Hamed 133,Sidi M'Hamed,Sidi M'Hamed,Alger,36.773703702387614,3.0477064243700087,26.0
Point de Vente Sidi M'Hamed 134,Sidi M'Hamed,Sidi M'Hamed,Alger,36.769415888759056,3.043300015740109,27.0
Point de Vente El Madania 001,El Madania,Sidi M'Hamed,Alger,36.73702639010525,3.0554636547488787,46.0
Point de Vente El Madania 002,El Madania,Sidi M'Hamed,Alger,36.74914893110628,3.05566957524778,47.0
Point de Vente El Madania 004,El Madania,Sidi M'Hamed,Alger,36.73424349264147,3.07178932053238,49.0
Point de Vente El Madania 006,El Madania,Sidi M'Hamed,Alger,36.74200314976847,3.064077253730512,50.0
Point de Vente El Madania 007,El Madania,Sidi M'Hamed,Alger,36.73823689158416,3.0571015049598285,-1.0
Point de Vente El Madania 009,El Madania,Sidi M'Hamed,Alger,36.737475298098126,3.0584564813073687,-1.0
Point de Vente El Madania 010,El Madania,Sidi M'Hamed,Alger,36.73419995969663,3.0743068083603595,52.0
Point de Vente El Madania 011,El Madania,Sidi M'Hamed,Alger,36.7421728100764,3.063108730543967,50.0
Point de Vente El Madania 015,El Madania,Sidi M'Hamed,Alger,36.734835643493625,3.064829117560948,53.0
Point de Vente El Madania 018,El Madania,Sidi M'Hamed,Alger,36.73512316530908,3.0737046962684382,52.0
Point de Vente El Madania 020,El Madania,Sidi M'Hamed,Alger,36.74235549109586,3.070321385272426,51.0
Point de Vente El Madania 024,El Madania,Sidi M'Hamed,Alger,36.74901447618149,3.0744224056876006,56.0
Point de Vente El Madania 026,El Madania,Sidi M'Hamed,Alger,36.73655931369935,3.0712646943731645,-1.0
Point de Vente El Madania 027,El Madania,Sidi M'Hamed,Alger,36.73653047858704,3.0628965555505614,57.0
Point de Vente El Madania 028,El Madania,Sidi M'Hamed,Alger,36.7387537042972,3.0670506169723253,-1.0
Point de Vente El Madania 031,El Madania,Sidi M'Hamed,Alger,36.74261375427496,3.0622550818844694,50.0
Point de Vente El Madania 032,El Madania,Sidi M'Hamed,Alger,36.74249535012956,3.0688882418704635,-1.0
Point de Vente El Madania 033,El Madania,Sidi M'Hamed,Alger,36.742340326127454,3.064763055034767,50.0
Point de Vente El Madania 034,El Madania,Sidi M'Hamed,Alger,36.7432862467418,3.073539845047333,-1.0
Point de Vente El Madania 035,El Madania,Sidi M'Hamed,Alger,36.74854963466134,3.0747511279987765,56.0
Point de Vente El Madania 036,El Madania,Sidi M'Hamed,Alger,36.73992536479003,3.069110231647376,58.0
Point de Vente El Madania 037,El Madania,Sidi M'Hamed,Alger,36.74251626716474,3.070790233802896,51.0
Point de Vente El Madania 038,El Madania,Sidi M'Hamed,Alger,36.73603803865183,3.0642616783935863,53.0
Point de Vente El Madania 040,El Madania,Sidi M'Hamed,Alger,36.73804482652919,3.0622421079883453,57.0
Point de Vente El Madania 042,El Madania,Sidi M'Hamed,Alger,36.75253115439935,3.065840356429591,59.0
Point de Vente El Madania 044,El Madania,Sidi M'Hamed,Alger,36.74759093234382,3.074723161416434,56.0
Point de Vente El Madania 047,El Madania,Sidi M'Hamed,Alger,36.74225471348947,3.072520883728201,-1.0
Point de Vente El Madania 048,El Madania,Sidi M'Hamed,Alger,36.74206617876958,3.057428499317578,-1.0
Point de Vente El Madania 049,El Madania,Sidi M'Hamed,Alger,36.74705390080717,3.074550498712048,56.0
Point de Vente El Madania 050,El Madania,Sidi M'Hamed,Alger,36.73608090414204,3.0744270460530463,52.0
Point de Vente El Madania 051,El Madania,Sidi M'Hamed,Alger,36.73351819669508,3.069582879161268,-1.0
Point de Vente El Madania 052,El Madania,Sidi M'Hamed,Alger,36.73371225248766,3.058184043710869,-1.0
Point de Vente El Madania 053,El Madania,Sidi M'Hamed,Alger,36.75112565255385,3.0742368373196114,-1.0
Point de Vente El Madania 056,El Madania,Sidi M'Hamed,Alger,36.74152620695641,3.063552691815033,50.0
Point de Vente El Madania 058,El Madania,Sidi M'Hamed,Alger,36.73657135539308,3.0737826001905075,52.0
Point de Vente El Madania 059,El Madania,Sidi M'Hamed,Alger,36.739958418895945,3.061652168651697,61.0
Point de Vente El Madania 060,El Madania,Sidi M'Hamed,Alger,36.739647194824514,3.0690069088423333,58.0
Point de Vente El Madania 061,El Madania,Sidi M'Hamed,Alger,36.736861901026,3.055182025036201,46.0
Point de Vente El Madania 062,El Madania,Sidi M'Hamed,Alger,36.73907270684244,3.059964507793278,62.0
Point de Vente El Madania 064,El Madania,Sidi M'Hamed,Alger,36.7396730996844,3.065769935563597,-1.0
Point de Vente El Madania 066,El Madania,Sidi M'Hamed,Alger,36.74228088171824,3.0662659689391867,-1.0
Point de Vente El Madania 067,El Madania,Sidi M'Hamed,Alger,36.736131439439006,3.055630381729825,46.0
Point de Vente El Madania 068,El Madania,Sidi M'Hamed,Alger,36.73450047686571,3.071038146869464,49.0
Point de Vente El Madania 070,El Madania,Sidi M'Hamed,Alger,36.75182351771428,3.056614963154969,47.0
Point de Vente El Madania 071,El Madania,Sidi M'Hamed,Alger,36.74161054324127,3.0611049043999428,61.0
Point de Vente El Madania 072,El Madania,Sidi M'Hamed,Alger,36.73732761273915,3.0692871452098864,-1.0
Point de Vente El Madania 074,El Madania,Sidi M'Hamed,Alger,36.75126733244772,3.0715822903532306,55.0
Point de Vente El Madania 075,El Madania,Sidi M'Hamed,Alger,36.73815733649528,3.060515368536682,62.0
Point de Vente El Madania 076,El Madania,Sidi M'Hamed,Alger,36.75267751894792,3.060334941801325,-1.0
Point de Vente El Madania 077,El Madania,Sidi M'Hamed,Alger,36.7496625648938,3.073151460091422,-1.0
Point de Vente El Madania 079,El Madania,Sidi M'Hamed,Alger,36.73393389879816,3.0610468386388585,-1.0
Point de Vente Belouizdad 001,Belouizdad,Hussein Dey,Alger,36.76089648103833,3.0634783341130905,63.0
Point de Vente Belouizdad 004,Belouizdad,Hussein Dey,Alger,36.75776814421573,3.067797940653369,64.0
Point de Vente Belouizdad 005,Belouizdad,Hussein Dey,Alger,36.75811322370431,3.068604931968005,64.0
Point de Vente Belouizdad 006,Belouizdad,Hussein Dey,Alger,36.754797916028,3.0539048017164907,45.0
Point de Vente Belouizdad 008,Belouizdad,Hussein Dey,Alger,36.743819529795815,3.065015574984662,50.0
Point de Vente Belouizdad 009,Belouizdad,Hussein Dey,Alger,36.75259985597167,3.070886371161146,55.0
Point de Vente Belouizdad 010,Belouizdad,Hussein Dey,Alger,36.7439559708553,3.05479083475746,65.0
Point de Vente Belouizdad 012,Belouizdad,Hussein Dey,Alger,36.75412201112961,3.0681702389473244,66.0
Point de Vente Belouizdad 014,Belouizdad,Hussein Dey,Alger,36.752392249650256,3.055757468558739,47.0
Point de Vente Belouizdad 016,Belouizdad,Hussein Dey,Alger,36.75368132384253,3.053808367155726,45.0
Point de Vente Belouizdad 017,Belouizdad,Hussein Dey,Alger,36.75523315657469,3.056163000346355,36.0
Point de Vente Belouizdad 018,Belouizdad,Hussein Dey,Alger,36.75235931075024,3.0571680958573166,47.0
Point de Vente Belouizdad 019,Belouizdad,Hussein Dey,Alger,36.75919782210704,3.0642452439382577,63.0
Point de Vente Belouizdad 021,Belouizdad,Hussein Dey,Alger,36.75219012479552,3.0557573676274323,47.0
Point de Vente Belouizdad 023,Belouizdad,Hussein Dey,Alger,36.757084334601,3.0658007627073243,-1.0
Point de Vente Belouizdad 024,Belouizdad,Hussein Dey,Alger,36.7554722214395,3.070591253885203,-1.0
Point de Vente Belouizdad 029,Belouizdad,Hussein Dey,Alger,36.75427694647488,3.0595006801537203,-1.0
Point de Vente Belouizdad 031,Belouizdad,Hussein Dey,Alger,36.744748546476345,3.054063852048165,65.0
Point de Vente Belouizdad 032,Belouizdad,Hussein Dey,Alger,36.76241897569279,3.060965496717416,68.0
Point de Vente Belouizdad 034,Belouizdad,Hussein Dey,Alger,36.75839551809612,3.0618272419901342,-1.0
Point de Vente Belouizdad 037,Belouizdad,Hussein Dey,Alger,36.754011363764,3.057673304199904,47.0
Point de Vente Belouizdad 038,Belouizdad,Hussein Dey,Alger,36.757863636339685,3.052992270250457,23.0
Point de Vente Belouizdad 039,Belouizdad,Hussein Dey,Alger,36.75187939126774,3.0705881857221287,55.0
Point de Vente Belouizdad 041,Belouizdad,Hussein Dey,Alger,36.76184588255049,3.061156005979467,68.0
Point de Vente Belouizdad 044,Belouizdad,Hussein Dey,Alger,36.75940374597956,3.063718402366147,63.0
Point de Vente Belouizdad 045,Belouizdad,Hussein Dey,Alger,36.756170029206565,3.069434897826445,66.0
Point de Vente Belouizdad 046,Belouizdad,Hussein Dey,Alger,36.7587681005551,3.06412836142595,63.0
Point de Vente Belouizdad 051,Belouizdad,Hussein Dey,Alger,36.74446679136776,3.071927630515604,-1.0
Point de Vente Belouizdad 053,Belouizdad,Hussein Dey,Alger,36.74360732043336,3.058553668376874,67.0
Point de Vente Belouizdad 055,Belouizdad,Hussein Dey,Alger,36.75551702796215,3.0622539720760145,-1.0
Point de Vente Belouizdad 056,Belouizdad,Hussein Dey,Alger,36.75619716698516,3.061093773509615,-1.0
Point de Vente Belouizdad 058,Belouizdad,Hussein Dey,Alger,36.75446787692032,3.065493776345487,59.0
Point de Vente Belouizdad 059,Belouizdad,Hussein Dey,Alger,36.75410012512151,3.0582343980320967,47.0
Point de Vente Belouizdad 061,Belouizdad,Hussein Dey,Alger,36.75310957251701,3.071224465482928,55.0
Point de Vente Belouizdad 062,Belouizdad,Hussein Dey,Alger,36.7585302312023,3.069141117693351,64.0
Point de Vente Belouizdad 065,Belouizdad,Hussein Dey,Alger,36.76302275634395,3.0610081867545,68.0
Point de Vente Belouizdad 068,Belouizdad,Hussein Dey,Alger,36.7488489878397,3.053174402739603,72.0
Point de Vente Belouizdad 069,Belouizdad,Hussein Dey,Alger,36.76179870236305,3.06919482045274,69.0
Point de Vente Belouizdad 071,Belouizdad,Hussein Dey,Alger,36.75939316721868,3.068299262974581,64.0
Point de Vente Belouizdad 072,Belouizdad,Hussein Dey,Alger,36.7469028711015,3.055324104412089,65.0
